"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\client\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\client\package-lock.json", "JSON", 27507, 0, 0, 0, 0, 0, 0, 1, 27508
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\client\package.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\client\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\client\src\App.css", "CSS", 0, 0, 0, 0, 0, 33, 0, 6, 39
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\client\src\App.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 3, 26
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\client\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\client\src\index.css", "CSS", 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\client\src\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 3, 3, 18
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\client\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\client\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\client\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 4, 1, 6
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\package.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\package-lock.json", "JSON", 10429, 0, 0, 0, 0, 0, 0, 1, 10430
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\package.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\public\index.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\app.js", "JavaScript", 0, 0, 19, 0, 0, 0, 7, 6, 32
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\models\bodytrace.model.js", "JavaScript", 0, 0, 29, 0, 0, 0, 3, 8, 40
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\models\bodytrace\bodytrace.model.bp.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\models\bodytrace\bodytrace.model.weight.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\models\stel.model.js", "JavaScript", 0, 0, 61, 0, 0, 0, 3, 9, 73
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\models\stel\stel.model.bp.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 10, 30
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\models\stel\stel.model.ekg.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 8, 28
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\models\stel\stel.model.glucose.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 7, 27
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\models\stel\stel.model.inr.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 8, 28
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\models\stel\stel.model.pill.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 7, 27
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\models\stel\stel.model.spirometer.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 10, 30
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\models\stel\stel.model.spo2.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 8, 28
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\models\stel\stel.model.temperature.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 7, 27
"c:\Users\gtm12\Documents\node\STEL-BODYTRACE-PROJECT\server\src\models\stel\stel.model.wearable.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 7, 27
